result_count,distinct_sensitive_values,query_granularity,is_single_hospital,label
44,2,2,0,1
386,1,1,1,0
327,6,3,1,1
219,7,3,1,1
216,7,2,1,1
429,9,4,0,1
42,5,3,0,1
348,8,1,0,1
100,7,4,1,1
47,3,1,1,1
263,8,3,1,1
487,1,2,1,0
367,6,3,0,1
380,9,4,1,1
358,6,3,1,1
393,9,3,1,1
256,1,4,1,0
64,5,3,1,1
419,8,4,0,1
225,6,2,1,1
250,8,1,0,1
185,5,1,1,1
91,7,3,1,1
463,4,3,1,1
390,8,1,0,1
321,2,1,0,1
201,3,4,1,1
411,1,3,1,0
272,7,4,0,1
221,3,1,1,1
225,3,1,1,1
113,8,2,1,1
46,4,4,0,1
277,2,3,1,1
443,1,4,0,0
31,3,2,1,1
429,9,2,1,1
413,5,3,0,1
138,9,4,1,1
315,2,2,0,1
82,4,3,1,0
379,2,4,0,1
350,4,2,1,1
177,6,4,0,1
33,8,3,0,1
485,4,4,0,1
222,7,2,1,1
446,6,3,0,1
338,3,2,0,1
389,9,3,0,1
379,4,2,0,0
97,2,3,0,0
181,9,4,1,1
233,9,2,1,1
248,1,2,1,0
21,9,2,1,1
273,9,3,1,0
77,8,3,0,1
371,3,3,1,1
341,6,1,0,1
461,5,1,1,1
372,6,1,0,1
183,6,4,1,1
483,6,4,0,1
205,5,1,0,1
162,7,1,0,1
452,5,4,1,1
185,1,3,0,0
38,1,2,0,0
234,9,3,0,1
397,9,1,1,1
94,6,1,1,1
231,2,2,1,1
64,8,4,1,1
343,2,4,0,1
237,4,1,1,1
165,3,3,0,1
113,1,4,0,0
282,8,4,0,1
334,5,4,0,1
470,3,1,0,1
218,5,1,1,1
80,1,1,1,0
416,4,1,0,1
314,5,1,0,1
350,4,2,1,1
48,8,3,0,1
156,3,2,1,1
383,2,2,0,1
416,5,1,1,1
217,8,1,1,1
402,4,4,0,1
420,1,3,0,0
193,9,1,1,1
449,4,4,0,1
144,2,4,0,1
119,6,4,0,1
341,3,1,0,1
318,9,3,1,1
69,3,4,0,1
416,5,4,0,1
99,5,1,1,1
402,3,4,1,1
3,5,2,1,0
398,1,2,1,0
393,6,3,0,1
390,7,4,1,1
332,9,1,0,1
235,3,3,1,1
352,3,4,1,1
138,5,3,1,1
390,7,2,1,1
277,9,1,0,1
229,1,3,0,0
252,3,3,1,0
284,3,3,0,1
18,3,4,1,1
69,5,3,1,1
122,8,3,0,1
57,1,1,1,0
219,8,3,1,1
334,6,1,1,1
327,6,3,0,1
235,7,1,0,1
427,2,4,0,1
282,7,2,0,1
39,3,2,0,0
382,5,1,0,1
287,7,1,0,1
317,6,4,0,1
282,3,2,1,1
276,4,3,1,1
45,5,4,1,1
279,1,3,0,0
397,7,1,1,1
151,1,2,1,0
301,5,2,0,1
15,6,2,1,1
173,1,1,0,0
218,9,3,1,1
491,4,2,0,0
107,1,2,1,0
138,6,2,0,1
204,6,2,1,1
496,6,1,1,1
426,7,2,0,1
17,5,4,0,0
116,8,3,0,1
410,4,3,0,1
29,5,4,0,1
427,2,3,1,1
140,6,1,1,1
458,3,2,1,1
146,7,2,1,1
217,8,2,1,1
330,8,1,0,1
63,9,1,1,1
278,2,2,0,1
252,2,4,1,1
391,9,3,0,1
498,4,4,0,1
332,1,1,0,0
204,3,2,1,1
203,8,3,1,1
208,4,2,1,1
407,1,2,0,0
160,7,2,1,1
83,2,1,1,1
167,4,4,0,1
11,1,4,1,0
53,6,1,1,1
45,5,2,0,1
385,8,3,0,1
361,4,4,0,1
348,2,4,1,1
230,2,2,1,1
358,2,3,1,1
80,5,4,1,1
450,1,4,0,0
250,4,2,0,1
469,8,4,0,1
76,7,2,0,1
248,6,1,1,1
348,9,4,1,1
247,8,4,1,1
223,6,2,1,1
83,8,2,0,1
190,2,2,1,1
119,8,1,0,1
150,3,4,1,1
341,7,1,1,1
315,9,3,1,1
303,5,1,1,1
180,1,3,0,0
479,4,4,1,0
43,4,3,1,1
171,9,3,1,1
59,9,4,0,1
169,6,4,0,1
480,9,4,1,1
183,4,1,0,1
454,4,3,1,1
247,8,4,0,1
349,7,2,1,1
228,5,3,0,1
132,5,1,1,1
382,7,4,0,1
484,7,3,1,1
131,5,3,0,1
389,1,4,1,0
130,1,1,0,1
358,2,2,1,1
394,5,4,1,0
224,6,1,1,1
368,8,4,0,1
136,3,2,0,1
39,8,3,0,1
48,6,3,0,0
223,1,3,1,0
451,4,4,1,1
63,3,2,0,1
227,8,1,1,1
352,9,2,0,1
101,8,3,1,1
360,5,4,0,1
152,5,4,1,1
404,3,2,0,1
289,7,4,0,1
273,1,1,0,0
88,3,1,0,1
231,2,1,1,1
428,5,4,1,1
9,3,1,0,1
379,2,3,0,1
246,4,4,1,1
359,8,4,1,1
331,6,4,0,1
216,8,1,1,1
154,9,2,1,1
313,9,3,1,1
70,4,3,1,1
292,8,3,0,0
47,9,3,0,1
324,9,2,1,1
314,4,1,0,1
42,3,2,0,1
378,6,2,1,1
207,9,3,0,1
393,9,4,1,1
20,6,3,0,1
89,2,3,0,1
246,4,1,0,1
94,7,3,0,1
164,6,2,1,1
330,4,1,1,1
72,4,1,1,1
338,1,4,1,0
